name,xcoord,ycoord
बुटवल,83.4679742,27.6924844
Tourist Police Post,83.95727,28.2117055
 ,85.3010504,27.6847278
Balkhu,85.2980741,27.6847585
Kalimati,85.2993664,27.6963576
Rangers,85.2925744,27.7073176
Imadol Police Station,85.3439525,27.6592311
"City Police, Dhangadhi",80.5886841,28.7051109
Satdobato Police Station,85.3248474,27.6584715
Kamal Pokhari Police Station,85.3255759,27.7102167
Someswor Police,84.4170709,27.434914
Basantapur Police,84.3232579,27.4571557
Tourist Check,84.2589483,28.5524367
 ,85.5178371,27.6316092
mangalbazar police station,85.3251065,27.6725186
balkumari police station,85.3361568,27.6719324
"Metropolitan Police Beat, Mandikhatar",85.3477888,27.736285
Durbar Marg Police Station,85.318138,27.7130123
Traffic station,85.2821442,27.694123
Tourist Police,85.3256523,27.6739246
District Police Station,84.4351937,27.6806874
Mahanagariya Prahari Parisar,85.3327052,27.7039529
Traffic police maha sakha,85.3214863,27.6994184
Community Police Service,85.3351501,27.7268479
"Police Office, Kirtipur",85.2750397,27.6777094
Metro Police Range - Pulchowk,85.3165788,27.6772242
Mahanagariya Prahari Bit,85.3156145,27.6734631
Police,85.3068102,27.6856352
Mangalsen Smriti Brigade,82.5402824,28.1883627
Sworgadwari Police Station,82.6734055,28.1221141
Gahana Pokhari Police Bit,85.3326743,27.7166129
Boudha Police Branch,85.3600858,27.7202554
 ,85.3761923,27.6735225
 ,85.3693144,27.6739623
Metropolitan Police Beat,85.3541516,27.7367724
 ,84.4183649,27.6964061
 ,85.3258869,27.7200561
 ,85.4822047,27.5896309
Dsp Police Station,87.2823761,26.4629499
Old Baneshwar Police Station,85.3403139,27.7014959
District Police office,83.600564,28.2639958
Metropolitan Police Circle,85.3094495,27.7184446
Tilingatar Police Station,85.3255859,27.7380078
Mahanagariya Prahari Pahara Gana HQ,85.322846,27.7359145
Golfutar police Bit,85.3483052,27.7474597
Traffic Police,85.8212041,27.7509027
Nepal Police,85.3247576,27.7005014
Andheri Police Station,85.8208274,27.7505242
Mahadev Basi Polish beat,85.0662255,27.7504348
"Tourist Police Sub-Section, Baidam",83.9695651,28.1992872
Kalimati Police Station,85.2993512,27.6972867
Police booth,85.2977524,27.692437
Nepal Police,85.3492678,27.6788938
Rastriya Suchana Aayog,85.3475686,27.681951
 ,85.3089566,27.7315852
Sanothimi Police Station,85.3719717,27.6825804
 ,86.4093379,27.5840669
Ranibari Police station,85.3179649,27.7301705
Lokanthali Police,85.3585513,27.6746428
Temporary police Beat,85.3017347,27.7230833
 ,80.6371146,29.2584184
Police station,84.5376592,27.9000873
 ,85.3370363,27.7312473
District Traffic Office,87.2797351,26.454406
Gaurighat Police Beat,85.3496355,27.7133153
Damak Police Station,87.7002532,26.6602982
 ,86.8341297,26.4819016
Police checkpost,83.8664761,28.8166105
wada prahari karyalaya siraha road,86.7459048,26.5376059
temporary police post,86.7423945,26.5442164
Police bit,86.7473664,26.543466
police post,86.9223398,26.5291371
District traffic police office,86.7895458,27.2222967
Tourist Police,85.337056,28.1637681
District Police Office,86.7926078,27.2117438
police offic ghoretar,87.1223779,27.0214949
District Police Office,86.0501783,27.6690131
Makwanpur Police Station,85.0278321,27.4319384
 ,85.3457517,27.7268084
Metropolitan Police Post,85.3388588,27.7121975
Unified maoist camp previoulsy,87.7269249,26.6642214
District Police Office,84.3785885,28.2278934
District Police Office,80.5799566,28.7043131
 ,80.5921611,28.7010923
Nagdhunga Checkpost,85.2056663,27.7064432
subh chowk,85.9321272,26.7355907
police,87.244517,27.1508798
 ,88.1052275,26.6115128
police,85.4775798,27.5241044
District Police Headquarters,88.0738003,26.5685546
Haripur Chouki,84.4841015,27.7116894
Metropolitan Traffic Police,85.2760508,27.6770404
District Traffic Office,84.4306388,27.680216
district police training center,84.4393659,27.6947448
police station,84.4384065,27.6712321
Manahari Police Station,84.8059241,27.5396632
Police,84.5129871,27.680876
Police Station,85.3412105,27.6785543
police station,85.3379616,27.6760937
Police Station,84.6272815,27.9915981
Police checkpost,83.7251016,28.7827405
Budhabare Police Station,88.0496146,26.7199292
Traffic Police,85.9161762,26.723844
Bhanu Chowk,85.9332012,26.7319034
Shiv Chowk,85.9292943,26.7295011
Mahabir Chowk,85.9253902,26.7275403
Murli Chowk traffic,85.9284397,26.7217553
Police station,83.787083,28.8371949
Check post,83.6431552,28.6021107
Check post,83.6543644,28.4979999
Police Check post,84.4156837,27.7033486
Check post,83.8712996,27.584158
Check post,83.5984632,27.6409833
Check post,84.1292308,27.6454109
Jorpati Police Station,85.3726523,27.7213663
Sankhar Police Force,83.9263852,27.8736556
Ward Police Office,81.6318182,28.0595216
District police station,82.8945919,28.9542673
Area Police Offive,81.689007,28.1946605
Hatkhola Chowk,87.292585,26.4601652
"Mangaltar, Chhap",85.7438403,27.4754016
"Armed Police Force, Sanjen Hydropower Security Base, Chilime Rasuwa",85.3054808,28.182031
"Ilaka Prahari Karyalaya, Sisuwa",84.0535176,28.1725723
"Temporary Police Station, Nadipur",83.9905489,28.2334287
bungkot police,84.6757517,27.9635593
 ,85.4151681,27.6927865
"Police station,thimi",85.3914749,27.6821105
Police Bit,81.6204424,28.0526855
thapathali,85.3204209,27.6890227
Lazimpat Police Office,85.3211019,27.7226711
Nagdhunga नागढुंगा प्रहरी चेक पोष्ट,85.2096788,27.6992529
Drivertole police,83.4672907,27.6497435
Fattepur Police station,85.0176385,27.1194952
Chanaute Police,84.6659922,28.1111718
"District Police Office, Rukum",82.4527883,28.6292361
Bartung,83.5533142,27.8563783
Shanischare Police Station,87.9927204,26.6853106
Mahanagariya Prahari Bit Ward no 4,85.3387306,27.7326164
"Aastahai Prahari Bit, Uttar Behadhi-4",80.5780636,28.7112176
Armed police force siraha,86.2495244,26.6330561
Armed police Force Gulma Gorkha,84.6398623,27.9848624
 ,85.5590761,26.853327
 ,85.3049255,27.6526752
 ,85.1423985,27.9147352
 ,84.406302,28.34291
ACA Entry Permit Checkpoint,84.0230806,28.6659871
Gaindakot  Police Checkpost,84.4179539,27.7011535
 ,85.4611297,27.7277061
 ,83.6178074,28.6914301
 ,85.3137333,27.6937083
 ,85.5134951,27.5867756
 ,86.2196208,26.659721
 ,85.4706391,27.7025278
"Samudayak Sewa Kendra, Prithivi Chowk",83.9877959,28.209592
Seleghat Police Station,85.9850431,27.3404919
doramba police station,85.9332179,27.5141111
District Police Office Tanahun,84.2658448,27.9760969
 ,84.190994,27.669628
 ,84.1126321,27.6554616
 ,85.4341278,27.6766086
 ,83.4655499,27.4718705
Police Post,85.3033803,27.6812781
 ,85.9332379,27.5141134
 ,87.2757655,26.6627701
 ,84.4373709,27.7045324
 ,84.6245761,27.9955368
District Police Gorkha,84.6245493,27.9952959
 ,84.5066224,27.6266845
Police Post,87.0958838,26.6844564
 ,83.469735,27.6916373
 ,83.6363363,27.5974605
 ,84.8931994,27.0360412
 ,84.3862607,27.6629615
 ,85.0407748,27.4284008
 ,85.4799727,27.6408847
 ,83.4415813,27.5073262
 ,83.4513857,27.5079239
 ,85.5240207,27.630017
 ,85.5046247,27.0086469
 ,84.5631811,27.6897979
 ,85.5152371,27.6317549
 ,85.3797019,27.6735995
 ,87.1551986,26.8278173
"District Police Office, Chitwan",84.4349116,27.6787816
 ,87.2772477,26.6624132
 ,85.3255385,27.7156242
 ,84.4028481,28.3814121
 ,84.5692137,27.605247
 ,84.2434905,28.5507092
 ,84.8732676,27.0066962
 ,83.7930675,27.5567043
 ,85.2037129,27.9963876
 ,85.3462416,27.7285142
 ,87.9612601,26.5540336
 ,81.4241846,29.0206815
Lekhnath Community Police Station,84.0553013,28.1697869
 ,81.820344,28.124954
 ,85.3619483,27.7770541
"Temporary Police Station, Srijana Chowk",83.9811525,28.2109696
"Temporary Police Station Ripitar, Sarankot",83.9485398,28.2457824
"Temporary Police Station, Bindawasini",83.9852464,28.2373819
"Police Station, Sarankot",83.9562229,28.2442038
"Samudayak Sewa Kendra, Matepani",84.0039371,28.2154829
"Temporary Police Station, Baal Sudhar Kendra Saarankot",83.9649231,28.2397828
"Samudayak Sewa Kendra, Baaidam",83.9565514,28.2145448
Tourist Police Information Center,83.9573751,28.2082223
Tourist Police Information Center,83.9681975,28.2013072
 ,85.9299916,26.7180785
 ,86.8823365,26.8118267
 ,83.6564241,28.4573968
 ,85.916732,27.204993
Police Beat,81.3430042,28.2075855
 ,85.8960833,27.795942
 ,85.8983514,27.7865164
 ,81.9508893,29.226601
 ,81.7860331,29.1450124
 ,81.6115881,29.1495949
 ,81.823915,29.1570649
 ,81.6409767,28.0798182
 ,83.6421765,28.5980427
"Police Beat, Budhibazar",84.0378727,28.1835855
 ,88.0781345,26.7358439
Phidim Police Clock Tower,87.7676522,27.1485975
"Police Chauki, Nayapool",83.7673923,28.2974263
 ,84.7544566,27.0816797
 ,85.2980412,27.7650316
"Prahari Chauki , Barakilo",84.5689721,27.972775
"Prahari Chauki, Majwa Deurali",84.5429547,27.9116979
"Ward Police Station, Gagangauda",84.0834953,28.1333702
CRV(Metro) Police Station,84.0698029,28.1655885
 ,86.4161778,26.6059573
"Police Station, Sundaridanda",84.112588,28.1656394
ACAP Check Post,83.9644433,28.3307205
 ,85.3271617,27.706321
 ,85.2736871,27.8705346
 ,87.6845755,26.660702
 ,84.497826,28.0935167
police post,86.9222874,26.5292415
Nepal Police Academy,85.3297429,27.733809
Manicipilty Polica Station Thali,85.4056106,27.7270088
 ,85.0007766,27.7960238
 ,84.4438551,28.0999364
jagati police checking post,85.4389626,27.665954
police,87.7655166,27.1453598
Passenger Help Desk,83.9827672,28.2320367
SP office,87.2886129,26.4740151
 ,87.1443593,26.6029367
 ,86.1727262,27.4258098
 ,86.8654481,26.6008124
pipalla,80.9418332,29.2497781
 ,87.646147,27.0690452
 ,81.3451097,28.2034112
Police Check Post,84.8840465,27.9105677
 ,85.3309926,27.6999995
Traffic Police,83.0463196,27.6624293
 ,87.2883574,26.4747932
 ,83.1302654,27.9767499
 ,83.1265969,27.9698152
 ,85.9216528,26.7430754
 ,85.9338263,26.7269813
 ,85.9283693,26.7291272
Police Karalaya,84.8849295,27.8803858
 ,85.9128932,27.2066941
mamdikatar,85.3477827,27.7363124
 ,85.3256209,27.7159606
Police Beat,84.0531901,28.1723988
Tourist Police,84.4961339,27.5830775
 ,85.9491752,26.8158677
 ,85.8921748,26.9906839
 ,85.9623573,26.8605654
Shree Sasastra Prahari Bal Nepal,84.0101224,28.2060016
 ,85.9273951,26.7277774
Mahanagar Prahare Kendra,85.3036787,27.6967938
Regional Police Office,87.6524287,27.2203618
Police Station KoshHaat,86.3767514,27.3085773
Tourist Police,83.2743587,27.4910966
 ,86.0411704,26.9057528
 ,85.9623698,26.8605647
 ,83.8804859,27.4640775
 ,84.811849,27.729903
 ,86.1543853,26.8847555
 ,85.374862,27.6927646
Elaka Prahari Karyalaya Jamunaha Banke,81.6025507,28.0211252
Police Bit,81.6149399,28.0598623
Police Bit,81.6261113,28.0670291
Police Bit,81.6242894,28.0629842
Police Bit,81.6362205,28.074173
Police Bit,81.6423487,28.0590705
Police Bit,81.6317359,28.071575
 ,81.5252932,28.5780621
 ,81.2666159,29.3210878
Police Bit,81.6197209,28.0607901
Joki Gaun,86.0689261,26.6412627
 ,86.0073756,26.6858785
 ,85.9930626,26.7031937
 ,86.0674498,26.6874958
Sainik Ilaka Police Office,81.6467012,28.0602765
Bhadaharwa Police Station,85.320346,26.813751
Prahari Bit,81.6282865,28.0796457
karagar security guard banke,81.6182698,28.053972
shree Sasastra prahari base camp,81.623837,28.0516994
 ,86.5497241,27.4018716
Pipraun,85.936166,26.6015326
Umgaon,85.9646725,26.6113742
Umgaon main chowk,85.9698216,26.6126324
 ,85.9276684,26.6420241
police bit,81.6233942,28.0576421
"Police Beat, Gagangaunda",84.0827224,28.1327604
"Community Police Service Center, Kalika",84.074808,28.2142412
 ,87.9591144,26.5516611
Traffic Police Office,83.9863447,28.2089021
 ,85.8094684,27.4439696
 ,85.9646019,27.1038054
 ,85.9154945,27.2047229
 ,85.9903693,27.3355267
Ilaka Prahari Karyalaya Hansapur,84.1442673,28.175892
Nepal Border Police Controls,85.3779372,28.2778715
 ,87.3270536,26.5173448
 ,85.509389,28.215338
 ,85.2992267,27.5019124
District Police Office,85.298852,28.1098036
Ward City Police Office,85.0390006,27.4203475
Picket-6,85.0281705,27.4167391
 ,86.0901603,26.7967637
 ,87.2742251,26.8126259
Jogikuti Police station,83.4649752,27.6677429
 ,86.0542766,27.3811728
 ,86.0617361,27.3817431
 ,84.9666703,26.9568736
Siwai Police Chauki,86.8788409,26.761753
 ,83.4699209,27.4770747
Jaspur Police Post,82.2677955,28.0612076
Police Station,85.3513667,27.6991403
 ,81.6423145,28.0081016
 ,87.7887492,26.966538
 ,86.5846209,27.5061841
"Sub Police Station, Tokha",85.3273557,27.7562498
 ,81.8641412,29.6605643
 ,81.88159,29.6547593
 ,81.8211745,29.9722796
phedikhola police station,83.8838604,28.1545776
Ilaka Prahari Karyalaya,80.604986,29.047357
 ,84.2533839,27.5841252
Lapsibot Police Station,83.7443905,28.3177355
Lapsibot Police Station,83.7443905,28.3177355
 ,85.2840787,27.6901074
Saamudayik Sewa Kendra Police station,83.7194869,28.2574235
Police bit mid baneshower,85.3374992,27.695491
 ,82.3524727,28.2317366
Laukahi Police Station,87.0656171,26.6003123
 ,84.2594961,28.5522994
 ,82.0643984,29.7492895
 ,81.2814252,28.6429644
Tatopani Police Station,82.1064327,29.2446403
Traffic Police Post,81.9511131,29.2268094
Namagadh Police Station,81.9093318,29.1968439
Kudari Police Station,82.0085493,29.2271154
Patrasi Police Station,82.28502,29.302563
Sinja Police Station,81.9841713,29.3264887
Chautha police post,82.107149,29.4314053
Gothijula police post,82.003764,29.4128152
 ,85.4974195,27.6322224
 ,85.1856149,27.9747652
"Ilaka Police Station, Kapilakot",85.728724,27.2633644
 ,82.8693676,27.6488176
 ,85.8218795,26.6628006
 ,82.0929576,28.0098353
Police office (2),81.8325477,29.5161567
 ,81.9978087,29.5172769
 ,81.9295172,29.5220029
 ,81.7704999,29.6067316
 ,82.1406059,29.5228534
 ,82.3527569,28.2260278
 ,82.2566587,28.2969396
 ,85.7291043,27.263891
 ,82.080344,29.5390853
