FID,the_geom,OBJECTID_1,OBJECTID,WNO,ZONE_NAME,REGION_12,DIST_ID,VDC_ID,DISTRICTS,VDC_CODE,VDC,DISVDCODE,P_CODE,X,Y,DISTRICT,VDC_NAME,P_CODEV,Market,Wardno,Damage,Recovery,Phyacces,Tranflow,Wholesal,Timfrwho,Traderno,building,comodity,Suffice,Capacity,Avgsalric,Avgsalent,Avgsaloil,Pricrice,Pricoil,Priclnt,Bankfin,credcop,Remagebt,Tel,Police,Wagrate,PCODEW,Mrktsze
market_centers_eq_districts0.1,POINT (86.10269927984797 27.779499054038183),1,8742,1,Janakpur,Central,22,002,Dolakha,2,Babare,220002,C-JAN-22-002-01,86.1027,27.7795,Dolakha,Babare,C-JAN-22-002,Nikobhumi/Prithi bazzar,1,1,2,3,3,Singati/Charikot,1,45,2,"Rice, Sugar, Salt, oil, Soap, Junk food",2,3,120,7,10,70,300,280,2,1,2,1,2,0,C-JAN-22-002-01,1
market_centers_eq_districts0.2,POINT (86.0330963130445 27.54260063171381),2,8758,8,Janakpur,Central,22,003,Dolakha,3,Bhedapu,220003,C-JAN-22-003-08,86.0331,27.5426,Dolakha,Bhedapu,C-JAN-22-003,Pokhari,8,1,2,3,3,Bhaise,1,3,2,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C-JAN-22-003-08,3
market_centers_eq_districts0.3,POINT (86.1433029174957 27.806999206148475),3,8843,8,Janakpur,Central,22,012,Dolakha,12,Chilankha,220012,C-JAN-22-012-08,86.1433,27.807,Dolakha,Chilankha,C-JAN-22-012,Sanba/Sorungkhola,8,1,2,4,3,,0,25,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C-JAN-22-012-08,1
market_centers_eq_districts0.4,POINT (86.09850311242877 27.549600601086922),4,8905,7,Janakpur,Central,22,021,Dolakha,21,Japhe,220021,C-JAN-22-021-07,86.0985,27.5496,Dolakha,Japhe,C-JAN-22-021,dunde/chaude,7,1,2,2,2,Charikot/milti,1,35,2,"Rice, Lentil, Sugar, Salt, soap, Junk food",2,2,350,50,30,65,280,230,2,1,2,1,1,0,C-JAN-22-021-07,1
market_centers_eq_districts0.5,POINT (86.24009704554226 27.604099273362806),5,8930,5,Janakpur,Central,22,024,Dolakha,24,Jiri,220024,C-JAN-22-024-05,86.2401,27.6041,Dolakha,Jiri,C-JAN-22-024,Dhunge/lincon Bazzar,5,1,2,1,1,Banepa/Charikot/Manthali,1,30,2,"Rice, Lentil, Salt, Soap, vegetable, Junck food, Sugar, Tea, Clothes, hardwere etc.",2,2,450,50,60,62,215,220,1,1,1,1,1,0,C-JAN-22-024-05,1
market_centers_eq_districts0.6,POINT (86.13919830285943 27.64730072055187),6,8946,3,Janakpur,Central,22,026,Dolakha,26,Kabhre,220026,C-JAN-22-026-03,86.1392,27.6473,Dolakha,Kabhre,C-JAN-22-026,Mainapokhari,3,3,2,1,1,Manthali/Banepa/Charikot,1,12,3,"Rice, Oil, Lentil, Salt, Sugar, Tea, Junk food, Tea, Hardwere, clothes etc.",2,1,180,50,18,60,200,210,1,1,1,1,1,0,C-JAN-22-026-03,2
market_centers_eq_districts0.7,POINT (85.98619842561692 27.636299133198463),7,8969,8,Janakpur,Central,22,028,Dolakha,28,Katakuti,220028,C-JAN-22-028-08,85.9862,27.6363,Dolakha,Katakuti,C-JAN-22-028,Magadeurali,8,3,2,3,2,Banepa,1,15,2,"Rice, Oil, Lentil, Salt, Sugar, Tea, Junk food, Tea, Hardwere, Clothes etc.",2,2,300,60,25,65,280,270,1,1,1,1,1,0,C-JAN-22-028-08,3
market_centers_eq_districts0.8,POINT (86.09449768042367 27.81979942320487),8,8987,8,Janakpur,Central,22,030,Dolakha,30,Khopachagu,220030,C-JAN-22-030-08,86.0945,27.8198,Dolakha,Khopachagu,C-JAN-22-030,Sanba/Sorungkhola,8,1,2,4,3,Singati,1,25,2,"Rice, Lentil, Oil, Salt, Junk food, Sugar, Soap, Tea",2,3,0,5,7,0,360,0,2,1,2,1,1,0,C-JAN-22-030-08,1
market_centers_eq_districts0.9,POINT (86.17330169651615 27.763099670113718),9,8995,7,Janakpur,Central,22,031,Dolakha,31,Laduk,220031,C-JAN-22-031-07,86.1733,27.7631,Dolakha,Laduk,C-JAN-22-031,Singati,7,1,2,2,2,Charikot/Banepa,1,15,2,"Rice, Lentil, Salt, Soap, vegetable, Junck food, Sugar, Tea, Clothes, Hardwere etc.",2,3,150,30,20,70,180,260,1,1,1,1,1,0,C-JAN-22-031-07,2
market_centers_eq_districts0.10,POINT (85.94969940170608 27.706800460672753),10,9005,8,Janakpur,Central,22,032,Dolakha,32,Lakuridanda,220032,C-JAN-22-032-08,85.9497,27.7068,Dolakha,LakuriDada,C-JAN-22-032,kharidhunga/aahaldada,8,1,2,1,2,Banepa/mude,1,50,2,"Rice, Lentil, Salt, Soap, vegetable, Junck food, Sugar, Tea, Clothes, Hardwere etc.",2,2,3500,100,200,60,280,150,2,1,2,1,1,0,C-JAN-22-032-08,1
market_centers_eq_districts0.11,POINT (86.21430206288994 27.828899383299927),11,9014,8,Janakpur,Central,22,033,Dolakha,33,Lamabagar,220033,C-JAN-22-033-08,86.2143,27.8289,Dolakha,Lamabagar,C-JAN-22-033,Jagat,8,1,2,3,3,Singati,1,5,2,"Rice, Sugar, Salt, oil, Soap, Junk food",2,3,60,5,10,70,300,300,2,1,2,1,1,0,C-JAN-22-033-08,3
market_centers_eq_districts0.12,POINT (86.15940093950184 27.737600326094253),12,9021,6,Janakpur,Central,22,034,Dolakha,34,Lamidanda,220034,C-JAN-22-034-06,86.1594,27.7376,Dolakha,Lamidada,C-JAN-22-034,Singati,6,1,2,2,2,Charikot/Banepa,1,12,2,"Rice, Lentil, Salt, Soap, vegetable, Junck food, Sugar, Tea,Clothes, Hardwere etc.",2,3,180,15,30,70,180,260,1,1,1,1,1,0,C-JAN-22-034-06,2
market_centers_eq_districts0.13,POINT (86.11070251490918 27.74699974064555),13,9028,4,Janakpur,Central,22,035,Dolakha,35,Lapilang,220035,C-JAN-22-035-04,86.1107,27.747,Dolakha,Lapilang,C-JAN-22-035,Bhimsenthan,4,1,2,2,2,Chariko/Singati,1,25,2,"Rice, Sugar, Salt, oil, Soap, Junk food",2,2,6000,15,200,57,350,230,2,1,2,1,2,0,C-JAN-22-035-04,1
market_centers_eq_districts0.14,POINT (85.9694976806735 27.655099868863886),14,9034,1,Janakpur,Central,22,036,Dolakha,36,Magapauwa,220036,C-JAN-22-036-01,85.9695,27.6551,Dolakha,Magapauwa,C-JAN-22-036,Lamche aahal,1,2,1,2,2,Banepa/mude,1,40,2,"Rice, salt, lentil, junk food, soap, sugar",2,2,1400,200,400,65,270,240,2,1,1,1,1,0,C-JAN-22-036-01,1
market_centers_eq_districts0.15,POINT (86.11239624049415 27.517299652057375),15,9047,5,Janakpur,Central,22,038,Dolakha,38,Malu,220038,C-JAN-22-038-05,86.1124,27.5173,Dolakha,Malu,C-JAN-22-038,Dandagaun/malukhola,5,2,2,2,2,Banepa/Charikot,1,11,2,"Rice, salt, lentil, junk food, soap, sugar",2,22,400,50,80,65,260,230,2,1,2,1,2,0,C-JAN-22-038-05,2
market_centers_eq_districts0.16,POINT (86.0987014767918 27.6294002530193),16,9089,2,JANAKPUR,,22,042,Dolakha,42,Namdu,220042,C-JAN-22-042-02,86.0987,27.6294,Dolakha,Namdu,C-JAN-22-042,Namdu/Baiteshwor,2,3,2,1,2,Charikot,1,7,2,"rice, lentil, tea, junk food, soap, sugar, salt",2,2,90,5,8,65,270,260,1,1,2,1,2,500,C-JAN-22-042-02,2
market_centers_eq_districts0.17,POINT (86.05400085435599 27.581300735540538),17,9114,9,Janakpur,Central,22,044,Dolakha,44,Pawati,220044,C-JAN-22-044-09,86.054,27.5813,Dolakha,Pawati,C-JAN-22-044,Rukheni,9,1,2,3,3,Bhaise,1,12,2,"rice, lentil, tea, junk food, soap, sugar, salt, cement, CGI",2,1,150,7,20,65,270,260,2,1,2,1,2,0,C-JAN-22-044-09,3
market_centers_eq_districts0.18,POINT (85.99299621570287 27.597600936833828),18,9123,9,Janakpur,Central,22,016,Dolakha,16,Fasku,220016,C-JAN-22-016-09,85.993,27.5976,Dolakha,Fasku,C-JAN-22-016,Dhunge/Gothpani,9,1,2,3,3,Banepa/Kathmandu,1,16,2,"Rice, Lentil, Sugar, Salt, Tea, Vegetable, Soap, Detergent, Junk food, Clothes, Hardwere, Spices etc",1,1,180,20,30,65,270,270,2,1,2,1,2,0,C-JAN-22-016-09,3
market_centers_eq_districts0.19,POINT (86.10919952383904 27.500099181731912),19,9127,4,Janakpur,Central,22,045,Dolakha,45,Sahare,220045,C-JAN-22-045-04,86.1092,27.5001,Dolakha,Sahare,C-JAN-22-045,Kirne,4,2,2,1,2,bardibas/charikot,1,5,2,"Rice, lentil, oil, salt, soap, clothes, hardwere, junk food, vegetable.",2,1,60,10,15,63,190,210,1,1,1,2,1,0,C-JAN-22-045-04,2
market_centers_eq_districts0.20,POINT (86.02140045176947 27.57889938379958),20,9137,5,Janakpur,Central,22,046,Dolakha,46,Sailungeswor,220046,C-JAN-22-046-05,86.0214,27.5789,Dolakha,Sailungeswor,C-JAN-22-046,Bhaise/Jhore,5,1,2,2,2,Bardibas,1,40,2,"Rice, Lentil, Oil, Salt, Sugar, Tea, Clothes, Hardwere, Vegetable etc.",2,2,10000,500,600,65,200,220,2,1,1,1,1,0,C-JAN-22-046-05,1
market_centers_eq_districts0.21,POINT (86.07209777789018 27.712200164705905),21,9148,7,Janakpur,Central,22,048,Dolakha,48,Sundrawati,220048,C-JAN-22-048-07,86.0721,27.7122,Dolakha,Sundrawati,C-JAN-22-048,Katuwachaur,7,1,2,2,2,Charikot,1,25,2,"Rice, Salt, lentil, Sugar, Fency, Oil, vegetable.",2,2,90,15,20,55,250,200,2,1,2,1,2,0,C-JAN-22-048-07,1
market_centers_eq_districts0.22,POINT (86.08899688719663 27.705999374271755),22,9156,6,Janakpur,Central,22,047,Dolakha,47,Sunkhani,220047,C-JAN-22-047-06,86.089,27.706,Dolakha,Sunkhani,C-JAN-22-047,Soti/Bhadaure,6,1,2,2,2,Banepa/Soti,1,10,2,"Rice, Salt, lentil, Sugar, Fency, Oil, vegetable, hardwere",2,2,600,30,60,60,240,210,2,1,1,1,2,0,C-JAN-22-047-06,2
market_centers_eq_districts0.23,POINT (85.89540100125527 27.61380004893317),23,9194,8,Janakpur,Central,22,015,Dolakha,15,Tamchet Dudhpokhari,220015,C-JAN-22-015-08,85.8954,27.6138,Dolakha,Dudhpokhari,C-JAN-22-015,"Kallabari, dudhpokhari",8,3,3,3,3,Banepa/mude,1,13,2,"rice, lentil,oil, salt, sugar",2,2,200,20,40,55,250,230,2,1,2,1,2,0,C-JAN-22-015-08,3
market_centers_eq_districts0.24,POINT (85.8803024291139 27.66390037540208),24,9207,3,Bagmati,Central,23,001,Sindhupalchok,1,Atarpur,230001,C-BAG-23-001-03,85.8803,27.6639,Sindhupalchok,Atarpur,C-BAG-23-001,Ghangdanda,3,1,2,2,3,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,200,50,10,50,230,230,2,1,2,1,2,500,C-BAG-23-001-03,2
market_centers_eq_districts0.25,POINT (85.61209869359988 27.79330062842132),25,9222,9,Bagmati,Central,23,002,Sindhupalchok,2,Badegau,230002,C-BAG-23-002-09,85.6121,27.7933,Sindhupalchok,Badegau,C-BAG-23-002,Aisanlukharka,9,1,2,3,3,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,3,100,40,15,51,240,230,2,1,2,1,2,500,C-BAG-23-002-09,3
market_centers_eq_districts0.26,POINT (85.5708007811312 27.79000091511017),26,9224,2,Bagmati,Central,23,003,Sindhupalchok,3,Bansbari,230003,C-BAG-23-003-02,85.5708,27.79,Sindhupalchok,Bansbari,C-BAG-23-003,Bahunepati,2,1,2,1,3,Banepa,1,15,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,200,20,50,53,240,230,2,1,1,1,2,500,C-BAG-23-003-02,2
market_centers_eq_districts0.27,POINT (85.6055984496088 27.881200790584046),27,9237,6,Bagmati,Central,23,004,Sindhupalchok,4,Banskharka,230004,C-BAG-23-004-06,85.6056,27.8812,Sindhupalchok,Banskharka,C-BAG-23-004,Newargau,6,1,2,3,3,Banepa,1,7,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,200,15,20,50,240,230,2,1,2,1,2,500,C-BAG-23-004-06,3
market_centers_eq_districts0.28,POINT (85.76509857174176 27.8645992282718),28,9249,9,Bagmati,Central,23,005,Sindhupalchok,5,Baramchi,230005,C-BAG-23-005-09,85.7651,27.8646,Sindhupalchok,Baramchi,C-BAG-23-005,Chanaute,9,1,2,3,3,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,5,10,52,240,230,2,1,2,1,2,500,C-BAG-23-005-09,3
market_centers_eq_districts0.29,POINT (85.90579986567133 27.782499313792357),29,9258,9,Bagmati,Central,23,006,Sindhupalchok,6,Barhabise,230006,C-BAG-23-006-09,85.9058,27.7825,Sindhupalchok,Bahrabise,C-BAG-23-006,Barhabise,9,1,2,1,2,Banepa,1,15,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,600,100,100,54,240,230,1,1,1,2,1,500,C-BAG-23-006-09,2
market_centers_eq_districts0.30,POINT (85.60880279521291 27.975299834819566),30,9260,2,Bagmati,Central,23,007,Sindhupalchok,7,Baruwa,230007,C-BAG-23-007-02,85.6088,27.9753,Sindhupalchok,Baruwa,C-BAG-23-007,Jatan,2,1,2,3,3,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,3,150,8,30,50,240,230,2,1,2,1,2,500,C-BAG-23-007-02,3
market_centers_eq_districts0.31,POINT (85.72499847440014 27.825500488256978),31,9270,3,Bagmati,Central,23,008,Sindhupalchok,8,Batase,230008,C-BAG-23-008-03,85.725,27.8255,Sindhupalchok,Batase,C-BAG-23-008,Dhungenidanda,3,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,10,15,52,240,230,2,1,2,1,2,500,C-BAG-23-008-03,3
market_centers_eq_districts0.32,POINT (85.64569854695043 27.744800567292373),32,9280,4,Bagmati,Central,23,009,Sindhupalchok,9,Bhimtar,230009,C-BAG-23-009-04,85.6457,27.7448,Sindhupalchok,Bhimtar,C-BAG-23-009,Bhimtar,4,1,2,2,2,Banepa,1,7,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,10,20,52,240,230,2,1,2,1,1,500,C-BAG-23-009-04,2
market_centers_eq_districts0.33,POINT (85.65390014637472 27.977500915634778),33,9290,5,Bagmati,Central,23,049,Sindhupalchok,49,Bhotang,230049,C-BAG-23-049-05,85.6539,27.9775,Sindhupalchok,Bhotang,C-BAG-23-049,Chhimti,5,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,500,15,20,54,220,230,2,1,2,1,2,500,C-BAG-23-049-05,3
market_centers_eq_districts0.34,POINT (85.49810028120305 27.791799545712536),34,9295,1,Bagmati,Central,23,012,Sindhupalchok,12,Bhotechaur,230012,C-BAG-23-012-01,85.4981,27.7918,Sindhupalchok,Bhotechaur,C-BAG-23-012,Bhotechaur,1,1,2,3,2,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,21,10,50,240,230,2,1,2,1,1,500,C-BAG-23-012-01,3
market_centers_eq_districts0.35,POINT (85.62370300299125 27.89049911504219),35,9312,9,Bagmati,Central,23,011,Sindhupalchok,11,Bhote Namlang,230011,C-BAG-23-011-09,85.6237,27.8905,Sindhupalchok,BhoteNamlang,C-BAG-23-011,Tipani,9,1,2,2,3,Banepa,1,7,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,9,15,52,240,230,2,1,2,1,1,500,C-BAG-23-011-09,2
market_centers_eq_districts0.36,POINT (85.65599822963463 27.762800216556798),36,9316,4,Bagmati,Central,23,010,Sindhupalchok,10,Bhotasipa,230010,C-BAG-23-010-04,85.656,27.7628,Sindhupalchok,Bhotasipa,C-BAG-23-010,Badahare,4,1,2,2,3,Banepa,1,5,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,200,14,20,50,240,230,2,1,2,1,2,500,C-BAG-23-010-04,2
market_centers_eq_districts0.37,POINT (85.71209716814985 27.774599075387073),37,9329,8,Bagmati,Central,23,014,Sindhupalchok,14,Chautara,230014,C-BAG-23-014-08,85.7121,27.7746,Sindhupalchok,Choutara,C-BAG-23-014,Chautara,8,1,2,1,2,Banepa,1,20,3,"Rice,Oil,Lentil,Salt shop,etc",2,1,300,10,50,50,235,230,1,1,1,2,1,500,C-BAG-23-014-08,2
market_centers_eq_districts0.38,POINT (85.96009826702146 27.75679969794777),38,9333,3,Bagmati,Central,23,013,Sindhupalchok,13,Chokati,230013,C-BAG-23-013-03,85.9601,27.7568,Sindhupalchok,Choukati,C-BAG-23-013,Chokati,3,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,3,600,7,10,54,240,230,2,1,2,1,2,500,C-BAG-23-013-03,3
market_centers_eq_districts0.39,POINT (85.90339660646828 27.77319908097286),39,9348,9,Bagmati,Central,23,023,Sindhupalchok,23,Dhuskun,230023,C-BAG-23-023-09,85.9034,27.7732,Sindhupalchok,Ghuskun,C-BAG-23-023,Sunkoshi,9,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,6,20,54,240,230,2,1,2,1,2,500,C-BAG-23-023-09,3
market_centers_eq_districts0.40,POINT (85.86399841289648 27.833999633776102),40,9356,8,Bagmati,Central,23,015,Sindhupalchok,15,Dhumthang,230015,C-BAG-23-015-08,85.864,27.834,Sindhupalchok,Ghumthang,C-BAG-23-015,Ghumthang,8,1,2,3,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,3,400,5,16,52,240,230,2,1,2,1,2,500,C-BAG-23-015-08,3
market_centers_eq_districts0.41,POINT (85.57330322296542 27.858900069782464),41,9359,2,Bagmati,Central,23,016,Sindhupalchok,16,Dubachour,230016,C-BAG-23-016-02,85.5733,27.8589,Sindhupalchok,Dubachour,C-BAG-23-016,Pokhare Bhanjeng,2,1,2,2,2,Banepa,1,7,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,300,8,20,52,240,230,2,1,1,1,2,500,C-BAG-23-016-02,2
market_centers_eq_districts0.42,POINT (85.91239929229357 27.812299728449773),42,9370,4,Bagmati,Central,23,021,Sindhupalchok,21,Gati,230021,C-BAG-23-021-04,85.9124,27.8123,Sindhupalchok,Gati,C-BAG-23-021,Kaseri,4,1,2,2,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,3,300,9,40,55,240,230,2,1,2,1,2,500,C-BAG-23-021-04,3
market_centers_eq_districts0.43,POINT (85.99929809533091 27.815200805572772),43,9376,1,Bagmati,Central,23,022,Sindhupalchok,22,Ghorthali,230022,C-BAG-23-022-01,85.9993,27.8152,Sindhupalchok,Ghorthali,C-BAG-23-022,Dolangsa,1,1,2,3,3,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,5,10,56,240,230,2,1,2,1,2,500,C-BAG-23-022-01,3
market_centers_eq_districts0.44,POINT (85.48719787558156 27.81800079350188),44,9423,3,Bagmati,Central,23,028,Sindhupalchok,28,Haibung,230028,C-BAG-23-028-03,85.4872,27.818,Sindhupalchok,Haibung,C-BAG-23-028,Kauledovan,3,1,2,3,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,7,20,52,240,230,2,1,2,1,2,500,C-BAG-23-028-03,3
market_centers_eq_districts0.45,POINT (85.53389739954542 27.952100753347167),45,9430,1,Bagmati,Central,23,029,Sindhupalchok,29,Helambu,230029,C-BAG-23-029-01,85.5339,27.9521,Sindhupalchok,Helumbu,C-BAG-23-029,Timbu,1,1,2,3,3,Banepa,1,10,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,400,9,30,55,240,230,2,2,2,1,2,500,C-BAG-23-029-01,3
market_centers_eq_districts0.46,POINT (85.5364990231115 27.90410041849958),46,9444,6,Bagmati,Central,23,030,Sindhupalchok,30,Ichok,230030,C-BAG-23-030-06,85.5365,27.9041,Sindhupalchok,Ichok,C-BAG-23-030,Chanaute,6,1,2,1,3,Banepa,1,11,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,500,16,50,53,240,230,2,1,2,1,2,500,C-BAG-23-030-06,2
market_centers_eq_districts0.47,POINT (85.74079895031139 27.742399215551416),47,9452,5,Bagmati,Central,23,031,Sindhupalchok,31,Irkhu,230031,C-BAG-23-031-05,85.7408,27.7424,Sindhupalchok,Irkhu,C-BAG-23-031,Irkhu,5,1,2,1,2,Banepa,1,12,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,7,20,50,240,230,2,1,2,1,2,500,C-BAG-23-031-05,2
market_centers_eq_districts0.48,POINT (85.773300171166 27.812200545818598),48,9460,4,Bagmati,Central,23,032,Sindhupalchok,32,Jalbire,230032,C-BAG-23-032-04,85.7733,27.8122,Sindhupalchok,Jalbire,C-BAG-23-032,Jalbire,4,1,2,1,2,Banepa,1,25,3,"Rice,Oil,Lentil,Salt shop,etc",2,1,600,12,30,50,240,230,1,1,2,1,1,500,C-BAG-23-032-04,1
market_centers_eq_districts0.49,POINT (85.92130279548769 27.69969940210575),49,9467,2,Bagmati,Central,23,033,Sindhupalchok,33,Jethal,230033,C-BAG-23-033-02,85.9213,27.6997,Sindhupalchok,Jethal,C-BAG-23-033,"Sikre, 21 Kilo",2,1,2,1,2,Banepa,1,4,2,"Rice,Oil,Lentil,Salt shop,etc",2,1,400,9,20,53,240,230,2,1,2,2,2,500,C-BAG-23-033-02,3
market_centers_eq_districts0.50,POINT (85.6019973752787 27.856500625503543),50,9480,6,Bagmati,Central,23,034,Sindhupalchok,34,Jyamire,230034,C-BAG-23-034-06,85.602,27.8565,Sindhupalchok,Jyamire,C-BAG-23-034,Kaflekhola,6,1,2,3,3,Banepa,1,3,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,300,5,40,54,240,230,2,1,2,1,2,500,C-BAG-23-034-06,3
market_centers_eq_districts0.51,POINT (85.76200103771777 27.689100265864624),51,9493,1,Bagmati,Central,23,036,Sindhupalchok,36,Kalika,230036,C-BAG-23-036-01,85.762,27.6891,Sindhupalchok,Kalika,C-BAG-23-036,Puranakot,1,1,2,3,3,Banepa,1,6,2,"Rice,Oil,Lentil,Salt shop,etc",2,2,200,0,50,50,240,230,2,1,2,1,2,500,C-BAG-23-036-01,3
